01/13/2016                     check of BOMs for SNP                         1
check of BOMs for SNP
Material	Component	Plnt	Multi Chips	Item	AltBOM
35577G11W	103620	CSO1		0010	1
35577D14-PNMU11A	35577D17P	LNG5		0010	3
35577D14-ZVYI12A	35577D17P	ATC5		0010	3
35577D14-ZVYU1DA	35577D17P	ATC5		0010	1
35577D14-ZVYU1DA	35577D14P	ATC5		0010	2
35577D14-ZVYU1DA	35577D15P	ATC5		0010	3
35577D15-PNMU11A	35577D17P	LNG5		0010	3
35577D15-ZVYU14A	35577D17P	ATC5		0010	1
35577D15-ZVYU14A	35577D15P	ATC5		0010	2
35577D15-ZVYU14A	35577D14P	ATC5		0010	3
35577D15-ZVYU15A	35577D17P	ATC5		0010	1
35577D15-ZVYU15A	35577D15P	ATC5		0010	2
35577D15-ZVYU15A	35577D14P	ATC5		0010	3
35577D15-ZVYU25A	35577D17P	ATC5		0010	1
35577D15-ZVYU25A	35577D15P	ATC5		0010	2
35577D15-ZVYU25A	35577D14P	ATC5		0010	3
35577D15-ZVYU30A	35577D17P	ATC5		0010	3
35577D15-ZVYU34A	35577D17P	ATC5		0010	2
35577D15-ZVYU36A	35577D17P	ATC5		0010	3
35577D17-ZVYU11A	35577D17P	ATC5		0010	1
35577F13-AUTT11A	35577F13P	LNG5		0010	1
35577G11-AUTD11A	35577G11P	ATP6		0010	1
35577G11-AUTD11A	35577G14P	ATP6		0010	2
35577G11-AUTD11A	35577G11P	LNG5		0010	1
35577G11-AUTT11A	35577G11P	LNG5		0010	1
35577G11-ZMFB11A	35577G11P	ATP7		0010	1
35577G11-ZMFB11A	35577G14P	ATP7		0010	2
35577G11-ZMFB11A	35577G11P	UTC5		0010	1
35577G11-ZMFB11A	35577G14P	UTC5		0010	2
35577G11-ZMFT11A	35577G11P	ATP7		0010	1
35577G11-ZMFT11A	35577G14P	ATP7		0010	2
35577G11-ZMFT11A	35577G11P	UTC5		0010	1
35577G11-ZMFT11A	35577G14P	UTC5		0010	2
35577G11-ZMFZ11A	35577G11P	ATP7		0010	1
35577G11-ZMFZ11A	35577G14P	ATP7		0010	2
35577G11-ZMFZ11A	35577G11P	UTC5		0010	1
35577G11-ZMFZ11A	35577G14P	UTC5		0010	2
35577D14-AUTU12T	35577D14-AUTU12A	ATK5		0010	1
35577D14-AUTU14T	35577D14-AUTU14A	ATK5		0010	1
35577D14-AUTU14T	35577D14-AUTU14A	LNG5		0010	1
35577D14-AUTU15T	35577D14-AUTU15A	ATK5		0010	1
35577D14-AUTU15T	35577D14-AUTU15A	LNG5		0010	1
35577D14-PNMU11T	35577D14-PNMU11A	LNG5		0010	1
35577D14-ZVYI12T	35577D14-ZVYI12A	ATC5		0010	1
35577D14-ZVYU12T	35577D14-ZVYU12A	ATC5		0010	1
35577D14-ZVYU13T	35577D14-ZVYU13A	ATC5		0010	1
35577D14-ZVYU14T	35577D14-ZVYU14A	ATC5		0010	1
35577D14-ZVYU15T	35577D14-ZVYU15A	ATC5		0010	1
35577D14-ZVYU16T	35577D14-ZVYU16A	ATC5		0010	1
35577D14-ZVYU17T	35577D14-ZVYU17A	ATC5		0010	1
35577D14-ZVYU18T	35577D14-ZVYU18A	ATC5		0010	1
35577D14-ZVYU19T	35577D14-ZVYU19A	ATC5		0010	1
35577D14-ZVYU1AT	35577D14-ZVYU1AA	ATC5		0010	1
35577D14-ZVYU1CT	35577D14-ZVYU1CA	ATC5		0010	1
35577D14-ZVYU1DT	35577D14-ZVYU1DA	ATC5		0010	1
35577D14-ZVYU1FT	35577D14-ZVYU1FA	ATC5		0010	1
35577D15-AUTU11T	35577D15-AUTU11A	ATK5		0010	1
35577D15-AUTU11T	35577D15-AUTU11A	LNG5		0010	1
35577D15-AUTU23T	35577D15-AUTU23A	ATK5		0010	1
35577D15-PNMU11T	35577D15-PNMU11A	LNG5		0010	1
35577D15-ZVYU14T	35577D15-ZVYU14A	ATC5		0010	1
35577D15-ZVYU15T	35577D15-ZVYU15A	ATC5		0010	1
35577D15-ZVYU22T	35577D15-ZVYU22A	ATC5		0010	1
35577D15-ZVYU25T	35577D15-ZVYU25A	ATC5		0010	1
35577D15-ZVYU26T	35577D15-ZVYU26A	ATC5		0010	1
35577D15-ZVYU30T	35577D15-ZVYU30A	ATC5		0010	1
35577D15-ZVYU31T	35577D15-ZVYU31A	ATC5		0010	1
35577D15-ZVYU33T	35577D15-ZVYU33A	ATC5		0010	1
35577D15-ZVYU34T	35577D15-ZVYU34A	ATC5		0010	1
35577D15-ZVYU35T	35577D15-ZVYU35A	ATC5		0010	1
35577D15-ZVYU36T	35577D15-ZVYU36A	ATC5		0010	1
35577D17-AUTU11T	35577D17-AUTU11A	ATK5		0010	1
35577D17-AUTU11T	35577D17-AUTU11A	LNG5		0010	1
35577D17-AUTU13T	35577D17-AUTU13A	ATK5		0010	1
35577D17-AUTU13T	35577D17-AUTU13A	LNG5		0010	1
35577D17-AUTU14T	35577D17-AUTU14A	ATK5		0010	1
35577D17-AUTU14T	35577D17-AUTU14A	LNG5		0010	1
35577D17-ZVYU11T	35577D17-ZVYU11A	ATC5		0010	1
35577G11-AUTT11T	35577G11-AUTT11A	ACP5		0010	1
35577G11-ZMFB11T	35577G11-ZMFB11A	ATP7		0010	1
35577G11-ZMFD12T	35577G11-ZMFD11A	ACP5		0010	1
35577G11-ZMFT11T	35577G11-ZMFT11A	ATP7		0010	1
35577G11-ZMFZ11T	35577G11-ZMFZ11A	ATP7		0010	1
35577D14-AUTU12F	35577D14-AUTU12T	ATK6		0010	1
35577D14-AUTU14F	35577D14-AUTU14T	ATK6		0010	1
35577D14-AUTU14F	35577D14-AUTU14T	LNG5		0010	1
35577D14-AUTU15F	35577D14-AUTU15T	ATK6		0010	1
35577D14-AUTU15F	35577D14-AUTU15T	LNG5		0010	1
35577D14-AUTU16F	35577D14-AUTU16T	LNG5		0010	1
35577D14-PNMU11F	35577D14-PNMU11T	LNG5		0010	1
35577D14-ZVYU12F	35577D14-ZVYU12T	ATC5		0010	1
35577D14-ZVYU13F	35577D14-ZVYU13T	ATC5		0010	1
35577D14-ZVYU14F	35577D14-ZVYU14T	ATC5		0010	1
35577D14-ZVYU15F	35577D14-ZVYU15T	ATC5		0010	1
35577D14-ZVYU16F	35577D14-ZVYU16T	ATC5		0010	1
35577D14-ZVYU17F	35577D14-ZVYU17T	ATC5		0010	1
35577D14-ZVYU18F	35577D14-ZVYU18T	ATC5		0010	1
35577D14-ZVYU19F	35577D14-ZVYU19T	ATC5		0010	1
35577D14-ZVYU1AF	35577D14-ZVYU1AT	ATC5		0010	1
35577D14-ZVYU1CF	35577D14-ZVYU1CT	ATC5		0010	1
35577D14-ZVYU1DF	35577D14-ZVYU1DT	ATC5		0010	1
35577D14-ZVYU1EF	35577D14-ZVYU1ET	ACP5		0010	1
35577D14-ZVYU1FF	35577D14-ZVYU1FT	ATC5		0010	1
35577D14-ZVYU1GF	35577D14-ZVYU1GT	ACP5		0010	1
35577D15-AUTU11F	35577D15-AUTU11T	ATK6		0010	1
35577D15-AUTU11F	35577D15-AUTU11T	LNG5		0010	1
35577D15-AUTU23F	35577D15-AUTU23T	ATK6		0010	1
35577D15-PNMU11F	35577D15-PNMU11T	LNG5		0010	1
35577D15-PNMU11F	355W5H14-PNMU11F	LNG5		0010	2
35577D15-ZVYU14F	35577D15-ZVYU14T	ATC5		0010	1
35577D15-ZVYU15F	35577D15-ZVYU15T	ATC5		0010	1
35577D15-ZVYU22F	35577D15-ZVYU22T	ATC5		0010	1
35577D15-ZVYU25F	35577D15-ZVYU25T	ATC5		0010	1
35577D15-ZVYU26F	35577D15-ZVYU26T	ATC5		0010	1
35577D15-ZVYU30F	35577D15-ZVYU30T	ATC5		0010	1
35577D15-ZVYU31F	35577D15-ZVYU31T	ATC5		0010	1
35577D15-ZVYU33F	35577D15-ZVYU33T	ATC5		0010	1
35577D15-ZVYU35F	35577D15-ZVYU35T	ATC5		0010	1
35577D15-ZVYU36F	35577D15-ZVYU36T	ATC5		0010	1
35577D17-AUTU11F	35577D17-AUTU11T	ATK6		0010	1
35577D17-AUTU11F	35577D17-AUTU11T	LNG5		0010	1
35577D17-AUTU12F	35577D17-AUTU12T	SJO1		0010	1
35577D17-AUTU13F	35577D17-AUTU13T	ATK6		0010	1
35577D17-AUTU13F	35577D17-AUTU13T	LNG5		0010	1
35577D17-AUTU14F	35577D17-AUTU14T	ATK6		0010	1
35577D17-AUTU14F	35577D17-AUTU14T	LNG5		0010	1
35577D17-ZVYU11F	35577D17-ZVYU11T	ATC5		0010	1
35577F13-AUTT11F	35577F13-AUTT11T	ACP5		0010	1
35577G11-AUTT11F	35577G11-AUTT11T	ACP5		0010	1
35577G11-AUTT12F	35577G11-AUTT12T	ACP5		0010	1
35577G11-ZMFD13F	35577G11-ZMFD13T	ACP5		0010	1
35577G13-WRCT11F	35577G13P	ACP5		0010	1
35577G13-WRCT11F	35577G16P	ACP5		0010	2
35577D14-AUTU13F	35577D14-AUTU13T	SJO1		0010	1
35577D15-AUTU24F	35577D15-AUTU24T	SJO1		0010	1
35577D17-ZVYU12A	35577D17P	ATC5		0010	1
35577D17-ZVYU12F	35577D17-ZVYU12T	ATC5		0010	1
35577D17-ZVYU12T	35577D17-ZVYU12A	ATC5		0010	1
35577D17-ZVYU13F	35577D17-ZVYU13T	ATC5		0010	1
35577D17-ZVYU13T	35577D17-ZVYU13A	ATC5		0010	1
35577D17-AUTU16T	35577D17-AUTU16A	LNG5		0010	1
35577D17-AUTU17F	35577D17-AUTU17T	ATK6		0010	1
35577D17-AUTU17T	35577D17-AUTU17A	ATK5		0010	1
35577D17-AUTU19F	35577D17-AUTU19T	LNG5		0010	1
35577D17-AUTU19T	35577D17-AUTU19A	ATK5		0010	1
35577D17-AUTU19T	35577D17-AUTU19A	LNG5		0010	1
35577D14-ZVYU1EF	35577D14-ZVYU1ET	ATC5		0010	1
35577D14-ZVYU1GF	35577D14-ZVYU1GT	ATC5		0010	1
35577D15-ZVYU34F	35577D15-ZVYU34T	ATC5		0010	1
35577D17-AUTU20F	35577D17-AUTU20T	SJO1		0010	1
35577D17-AUTU20T	35577D17-AUTU20A	LNG5		0010	1
35577D14-AUTU13T	35577D14-AUTU13A	LNG5		0010	1
35577D15-AUTU24T	35577D15-AUTU24A	LNG5		0010	1
35577D17-AUTU12T	35577D17-AUTU12A	LNG5		0010	1
35577G11-AUTT14A	35577G11P	ATP6		0010	1
35577G11-AUTT14A	35577G14P	ATP6		0010	2
35577G11-AUTT14F	35577G11-AUTT14T	ACP5		0010	1
35577G11-AUTT14T	35577G11-AUTT14A	ACP5		0010	1
35577D14-ZVYU16A	35577D17P	ATK5		0010	1
35577D14-AUTU16F	35577D14-AUTU16T	ACP5		0010	1
35577G11-ZMFD13A	35577G11P	UTC5		0010	1
35577G11-AUTB11A	35577G11P	ATP6		0010	1
35577G11-AUTB11A	35577G14P	ATP6		0010	2
35577G11-AUTZ11A	35577G11P	ATP6		0010	1
35577G11-AUTZ11A	35577G14P	ATP6		0010	2
35577F13-AUTT11A	35577F13P	ATP6		0010	1
35577G11-AUTT11A	35577G11P	ATP6		0010	1
35577G11-AUTT11A	35577G14P	ATP6		0010	2
35577G11-AUTT12A	35577G11P	ATP6		0010	1
35577G11-AUTT12A	35577G14P	ATP6		0010	2
35577D17-AUTU16F	35577D17-AUTU16T	LNG5		0010	1
35577D17-AUTU21A	35577D17P	ATK5		0010	1
35577D17-AUTU21A	35577D17P	LNG5		0010	1
35577D17-AUTU21F	35577D17-AUTU21T	LNG5		0010	1
35577D17-AUTU21T	35577D17-AUTU21A	ATK5		0010	1
35577D17-AUTU21T	35577D17-AUTU21A	LNG5		0010	1
35577D17-AUTU22A	35577D17P	ATK5		0010	1
35577D17-AUTU22A	35577D17P	LNG5		0010	1
35577D17-AUTU22F	35577D17-AUTU22T	ATK6		0010	1
35577D17-AUTU22F	35577D17-AUTU13F	ATK6		0010	2
35577D17-AUTU22T	35577D17-AUTU22A	ATK5		0010	1
35577D17-AUTU23A	35577D17P	ATK5		0010	1
35577D17-AUTU23A	35577D17P	LNG5		0010	1
35577D17-AUTU23F	35577D17-AUTU23T	ATK6		0010	1
35577D17-AUTU23F	35577D17-AUTU23T	LNG5		0010	1
35577D17-AUTU23T	35577D17-AUTU23A	ATK5		0010	1
35577D17-AUTU23T	35577D17-AUTU23A	LNG5		0010	1
35577D17-AUTU24A	35577D17P	ATK5		0010	1
35577D17-AUTU24A	35577D17P	LNG5		0010	1
35577D17-AUTU24F	35577D17-AUTU24T	LNG5		0010	1
35577D17-AUTU24F	35577D17-AUTU14F	LNG5		0010	2
35577D17-AUTU24T	35577D17-AUTU24A	ATK5		0010	1
35577D17-AUTU24T	35577D17-AUTU24A	LNG5		0010	1
35577D17-AUTU25A	35577D17P	ATK5		0010	1
35577D17-AUTU25A	35577D17P	LNG5		0010	1
35577D17-AUTU25F	35577D17-AUTU25T	ATK6		0010	1
35577D17-AUTU25F	35577D14-AUTU14F	ATK6		0010	2
35577D17-AUTU25F	35577D17-AUTU25T	LNG5		0010	1
35577D17-AUTU25F	35577D14-AUTU14F	LNG5		0010	2
35577D17-AUTU25T	35577D17-AUTU25A	ATK5		0010	1
35577D17-AUTU25T	35577D17-AUTU25A	LNG5		0010	1
35577D17-AUTU26A	35577D17P	LNG5		0010	1
35577D17-AUTU26F	35577D17-AUTU26T	LNG5		0010	1
35577D17-AUTU26F	35577D14-AUTU16F	LNG5		0010	2
35577D17-AUTU26T	35577D17-AUTU26A	LNG5		0010	1
35577D17-AUTU27A	35577D17P	ATK5		0010	1
35577D17-AUTU27A	35577D17P	LNG5		0010	1
35577D17-AUTU27F	35577D17-AUTU27T	LNG5		0010	1
35577D17-AUTU27F	35577D17-AUTU16F	LNG5		0010	2
35577D17-AUTU27T	35577D17-AUTU27A	ATK5		0010	1
35577D17-AUTU27T	35577D17-AUTU27A	LNG5		0010	1
35577D17-AUTU28A	35577D17P	ATK5		0010	1
35577D17-AUTU28A	35577D17P	LNG5		0010	1
35577D17-AUTU28F	35577D17-AUTU28T	ATK6		0010	1
35577D17-AUTU28F	35577D17-AUTU11F	ATK6		0010	2
35577D17-AUTU28F	35577D17-AUTU28T	LNG5		0010	1
35577D17-AUTU28F	35577D17-AUTU11F	LNG5		0010	2
35577D17-AUTU28T	35577D17-AUTU28A	ATK5		0010	1
35577D17-AUTU28T	35577D17-AUTU28A	LNG5		0010	1
35577D17-AUTU29A	35577D17P	ATK5		0010	1
35577D17-AUTU29A	35577D17P	LNG5		0010	1
35577D17-AUTU29F	35577D17-AUTU29T	ATK6		0010	1
35577D17-AUTU29F	35577D14-AUTU15F	ATK6		0010	2
35577D17-AUTU29F	35577D17-AUTU29T	LNG5		0010	1
35577D17-AUTU29F	35577D14-AUTU15F	LNG5		0010	2
35577D17-AUTU29T	35577D17-AUTU29A	ATK5		0010	1
35577D17-AUTU29T	35577D17-AUTU29A	LNG5		0010	1
35577D17-AUTU30A	35577D17P	ATK5		0010	1
35577D17-AUTU30A	35577D17P	LNG5		0010	1
35577D17-AUTU30F	35577D17-AUTU30T	ATK6		0010	1
35577D17-AUTU30F	35577D15-AUTU11F	ATK6		0010	2
35577D17-AUTU30F	35577D17-AUTU30T	LNG5		0010	1
35577D17-AUTU30F	35577D15-AUTU11F	LNG5		0010	2
35577D17-AUTU30T	35577D17-AUTU30A	ATK5		0010	1
35577D17-AUTU30T	35577D17-AUTU30A	LNG5		0010	1
35577D17-ZVYU15A	35577D17P	ATC5		0010	1
35577D17-ZVYU15F	35577D17-ZVYU15T	ATC5		0010	1
35577D17-ZVYU15F	35577D15-ZVYU24F	ATC5		0010	2
35577D17-ZVYU15T	35577D17-ZVYU15A	ATC5		0010	1
35577D17-ZVYU19A	35577D17P	ATC5		0010	1
35577D17-ZVYU19F	35577D17-ZVYU19T	ATC5		0010	1
35577D17-ZVYU19F	35577D15-ZVYU31F	ATC5		0010	2
35577D17-ZVYU19T	35577D17-ZVYU19A	ATC5		0010	1
35577D17-AUTU31A	35577D17P	LNG5		0010	1
35577D17-AUTU31F	35577D17-AUTU31T	SJO1		0010	1
35577D17-AUTU31F	35577D14-AUTU13F	SJO1		0010	2
35577D17-AUTU31T	35577D17-AUTU31A	LNG5		0010	1
35577D17-AUTU32A	35577D17P	LNG5		0010	1
35577D17-AUTU32F	35577D17-AUTU32T	SJO1		0010	1
35577D17-AUTU32F	35577D17-AUTU12F	SJO1		0010	2
35577D17-AUTU32T	35577D17-AUTU32A	LNG5		0010	1
35577D17-AUTU33A	35577D17P	LNG5		0010	1
35577D17-AUTU33F	35577D17-AUTU33T	SJO1		0010	1
35577D17-AUTU33F	35577D15-AUTU24F	SJO1		0010	2
35577D17-AUTU33T	35577D17-AUTU33A	LNG5		0010	1
35577D17-AUTU34A	35577D17P	LNG5		0010	1
35577D17-AUTU34F	35577D17-AUTU34T	SJO1		0010	1
35577D17-AUTU34F	35577D17-AUTU20F	SJO1		0010	2
35577D17-AUTU34T	35577D17-AUTU34A	LNG5		0010	1
35577D17-ZVYU18A	35577D17P	ATC5		0010	1
35577D17-ZVYU18F	35577D17-ZVYU18T	ATC5		0010	1
35577D17-ZVYU18F	35577D15-ZVYU35F	ATC5		0010	2
35577D17-ZVYU18T	35577D17-ZVYU18A	ATC5		0010	1
35577D17-ZVYU20A	35577D17P	ATC5		0010	1
35577D17-ZVYU20F	35577D17-ZVYU20T	ATC5		0010	1
35577D17-ZVYU20F	35577D15-ZVYU33F	ATC5		0010	2
35577D17-ZVYU20T	35577D17-ZVYU20A	ATC5		0010	1
35577D17-ZVYU21A	35577D17P	ATC5		0010	1
35577D17-ZVYU21F	35577D17-ZVYU21T	ATC5		0010	1
35577D17-ZVYU21T	35577D17-ZVYU21A	ATC5		0010	1
35577D17-ZVYU22A	35577D17P	ATC5		0010	1
35577D17-ZVYU22F	35577D17-ZVYU22T	ATC5		0010	1
35577D17-ZVYU22T	35577D17-ZVYU22A	ATC5		0010	1
35577D17-ZVYU23A	35577D17P	ATC5		0010	1
35577D17-ZVYU23F	35577D17-ZVYU23T	ATC5		0010	1
35577D17-ZVYU23T	35577D17-ZVYU23A	ATC5		0010	1
35577D17-ZVYU25A	35577D17P	ATC5		0010	1
35577D17-ZVYU25F	35577D17-ZVYU25T	ATC5		0010	1
35577D17-ZVYU25T	35577D17-ZVYU25A	ATC5		0010	1
35577D17-ZVYU26A	35577D17P	ATC5		0010	1
35577D17-ZVYU26F	35577D17-ZVYU26T	ATC5		0010	1
35577D17-ZVYU26T	35577D17-ZVYU26A	ATC5		0010	1
35577D17-ZVYU27A	35577D17P	ATC5		0010	1
35577D17-ZVYU27F	35577D17-ZVYU27T	ATC5		0010	1
35577D17-ZVYU27T	35577D17-ZVYU27A	ATC5		0010	1
35577D17-ZVYU28A	35577D17P	ATC5		0010	1
35577D17-ZVYU28F	35577D17-ZVYU28T	ATC5		0010	1
35577D17-ZVYU28T	35577D17-ZVYU28A	ATC5		0010	1
35577D17-ZVYU29A	35577D17P	ATC5		0010	1
35577D17-ZVYU29F	35577D17-ZVYU29T	ATC5		0010	1
35577D17-ZVYU29T	35577D17-ZVYU29A	ATC5		0010	1
35577D17-ZVYU30A	35577D17P	ATC5		0010	1
35577D17-ZVYU30F	35577D17-ZVYU30T	ATC5		0010	1
35577D17-ZVYU30T	35577D17-ZVYU30A	ATC5		0010	1
35577D17-ZVYU31A	35577D17P	ATC5		0010	1
35577D17-ZVYU31F	35577D17-ZVYU31T	ATC5		0010	1
35577D17-ZVYU31T	35577D17-ZVYU31A	ATC5		0010	1
35577D17-ZVYU32A	35577D17P	ATC5		0010	1
35577D17-ZVYU32F	35577D17-ZVYU32T	ATC5		0010	1
35577D17-ZVYU32T	35577D17-ZVYU32A	ATC5		0010	1
35577D17-ZVYU33A	35577D17P	ATC5		0010	1
35577D17-ZVYU33F	35577D17-ZVYU33T	ATC5		0010	1
35577D17-ZVYU33T	35577D17-ZVYU33A	ATC5		0010	1
35577D17-ZVYU34A	35577D17P	ATC5		0010	1
35577D17-ZVYU34F	35577D17-ZVYU34T	ATC5		0010	1
35577D17-ZVYU34F	35577D14-ZVYU1GF	ATC5		0010	2
35577D17-ZVYU34T	35577D17-ZVYU34A	ATC5		0010	1
35577D17-AUTU35A	35577D17P	ATK5		0010	1
35577D17-AUTU35A	35577D17P	LNG5		0010	1
35577D17-AUTU35F	35577D17-AUTU35T	LNG5		0010	1
35577D17-AUTU35T	35577D17-AUTU35A	ATK5		0010	1
35577D17-AUTU35T	35577D17-AUTU35A	LNG5		0010	1
35577D17P	35577D13W	ACP5		0010	1
35577D17P	35577D13W	CSO1		0010	1
35577G11P	35577G11W	ACP5		0010	1
35577G11P	35577G11W	CSO1		0010	1
35577G12P	35577G11W	CSO1		0010	1
35577G13P	35577G11W	CSO1		0010	1
35577D17-AUTU21A	35577D17P	ATP6		0010	1
35577D17-AUTU21T	35577D17-AUTU21A	ATP6		0010	1
35577D17-AUTU23A	35577D17P	ATP6		0010	1
35577D17-AUTU23T	35577D17-AUTU23A	ATP6		0010	1
35577D17-AUTU21F	35577D17-AUTU21T	ATP6		0010	1
35577D17-AUTU23F	35577D17-AUTU23T	ATP6		0010	1
35577G11-AUTZ14A	35577G11P	ATP6		0010	1
35577G11-AUTZ14F	35577G11-AUTZ14T	ATP6		0010	1
35577G11-AUTZ14T	35577G11-AUTZ14A	ATP6		0010	1
35577F13-AUTT11F	35577F13-AUTT11T	ATP7		0010	1
35577F13-AUTT11T	35577F13-AUTT11A	ATP7		0010	1
35577G11-AUTB11T	35577G11-AUTB11A	ATP7		0010	1
35577G11-AUTD12T	35577G11-AUTD11A	ATP7		0010	1
35577G11-AUTT12F	35577G11-AUTT12T	ATP7		0010	1
