01/13/2016                                                                              Material check for SNP.                                                                                 1
Material check for SNP.
 MTyp	Material	Plnt	Typ	For.	ProcType	A.scrap	Clt	Pl	IPT	 PDT	V	Profit Ctr	Product hierarchy	MS	Safety stock	SafetyTime	SS T DOS	ValCl	Pr.	   per	Standard price	PlanPrice 1	MovAvgPrice
 XPB1	35577D11P	ACP5	X1	P	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7901	S	1,000	       169.04	    169.04	
 XPB1	35577D13P	ACP5	X1	P	F	  6.70			 0	999		8	000130000600030000		          0	        00	       0	7901	S	1,000	       169.04	    169.04	
 XHLB	35577D13W	ACP5	X1	W	F	  0.00			 0	  0		8	000130000600070000		          0	        00	       0	7900	S	    1	       287.03		
 XHLB	35577D13W	CSO1	X1	W	F	  0.00			 0	999		8	000130000600070000		          0	        00	       0	7900	S	    1	       287.03	    261.48	
 XAY1	35577D14-AUTU12A	ATK5	X1	A	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7902	S	1,000		    272.33	
 XFG1	35577D14-AUTU12F	ACP5	X1	F	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7919	S	1,000	         0.01	      0.01	
 XFG1	35577D14-AUTU12F	ATDC	X1	F	F	  0.00			 0	  0		8	000130000600030000	CB	          0	        00	       0	7919	S	1,000			
 XFG1	35577D14-AUTU12F	ATK5	X1	F	E	  0.00			 1	  3	X	8	000130000600030000		          0	        00	       0	7919	S	1,000	         0.01		
 XFG1	35577D14-AUTU12F	ATK6	X1	F	E	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7919	S	1,000			
 XTS1	35577D14-AUTU12T	ATK5	X1	T	X	  1.00			 1	  8	X	8	000130000600030000		          0	        00	       0	7903	S	1,000			
 XTS1	35577D14-AUTU12T	ATK6	X1	T	F	  0.00			 0	  0		8	000130000600030000		          0	        00	       0	7903	S	1,000			
 XAY1	35577D14-AUTU13A	LNG5	X1	A	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7902	S	1,000		    272.33	
 XFG1	35577D14-AUTU13F	ACP5	X1	F	F	  0.00			 0	999		8	000130000600030000	CB	          0	        00	       0	7919	S	1,000		      0.01	
 XFG1	35577D14-AUTU13F	ATDC	X1	F	F	  0.00			 0	  0		8	000130000600030000	CB	          0	        00	       0	7919	S	1,000			
 XFG1	35577D14-AUTU13F	SJO1	X1	F	E	  0.00			 1	  3	X	8	000130000600030000		          0	        00	       0	7919	S	1,000			
 XTS1	35577D14-AUTU13T	LNG5	X1	T	E	  1.00			 1	  8	X	8	000130000600030000		          0	        00	       0	7903	S	1,000			
 XTS1	35577D14-AUTU13T	SJO1	X1	T	F	  0.00			 0	  0		8	000130000600030000		          0	        00	       0	7903	S	1,000			
 XAY1	35577D14-AUTU14A	ATK5	X1	A	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7902	S	1,000		    272.33	
 XAY1	35577D14-AUTU14A	LNG5	X1	A	F	  0.00			 0	999		8	000130000600030000		          0	        00	       0	7902	S	1,000		    272.33	
 XFG1	35577D14-AUTU14F	ACP5	X1	F	F	  0.00			 0	999		8	000130000600030000	CB	          0	        00	       0	7919	S	1,000		      0.01	
