01/13/2016                                                                                                                                                       routing check for SNP                                                                                                                                                          1
routing check for SNP
Material	Group	Act	Ctrl	    StdVal	Base Quantity	Unit	phas	Plnt	Valid From	Task list description	Usage	DeID	DelFg	GrC	Stat	Work ctr	Operation short text	Un	T	Created	Created by	Seq.	Relevancy to Costing Indicator	Subcontr.	Info rec.	POrg	Cost Elem.	Old task list no.	ActTyp	B	GrC	Fld key	ActTyp	StdVal	Unit
35577A32A	50090138	0010	PP02		       1,000		A	SJO2	08/01/2003	SJO2-35577A32A-E-160	1			1	4		0160U_BANK	EA	N	01/31/2004	MHARBACH	0	X	X	5500006307	CPO1	650070			X	1				
35577A32A	50218335	0010	PP02		       1,000		A	CSO2	12/23/2009	CSO2-35577A32A-E-160	1			1	4		0160U_BANK	EA	N	12/23/2009	LDOUGAN	0	X	X	5500006306	CPO1	650070			X	1				
35577A32A	50299971	0010	PP02		       1,000		A	CSO5	12/09/2010	CSO5-35577A32A-E-160	1			1	4		0160U_BANK	EA	N	12/10/2010	FF_RYEGANEH	0	X	X	5500039455	CPO1	650070			X	1				
35577A32A	50299974	0010	PP02		       1,000		A	SJO5	12/09/2010	SJO5-35577A32A-E-160	1			1	4		0160U_BANK	EA	N	12/10/2010	FF_RYEGANEH	0	X	X	5500048670	CPO1	650070			X	1				
35577A32A	50386185	0010	PP02		       1,000		A	NTO5	02/13/2013	NTO5-35577A32A-E-160	1			1	4		0160NTO ASSY	EA	N	02/13/2013	MPOUCHOUX	0	X	X	5500058583	CPO1	650070			X	1				
35577A32T	50090155	0010	PP01	    2.777	       1,000	HR	T	SJO2	08/01/2003	SJO2-35577A32T-I-101	1	X		1	4	SJO230	0101QA_ELEC_TEST	EA	N	01/31/2004	MHARBACH	0	X							X	1		SJO230		
35577A32T	50090155	0010	PP02		       1,000		T	SJO2	12/14/2007	SJO2-35577A32T-E-101	1	X		2	4		0101QA_ELEC_TEST	EA	N	12/14/2007	LDOUGAN	0	X	X	5500029285	CPO1	650071			X	2		SJO230		
35577A32T	50139425	0010	PP01	    2.776	       1,000	HR	T	SJO2	07/04/2006	SJO2-35577A32T-I-101	1			2	4	SJO230	0101QA_ELEC_TEST	EA	N	02/13/2008	MHARBACH	0	X							X	2		SJO230		
35577A32T	50139425	0010	PP02		       1,000		T	SJO2	07/04/2006	SJO2-35577A32T-E-101	1			1	4		0101QA_ELEC_TEST	EA	N	02/13/2008	MHARBACH	0	X	X	5500029285	CPO1	650071			X	1		SJO230		
35577A32T	50170096	0010	PP01	    2.778	       1,000	HR	T	ACP2	12/16/2008	ACP2-35577A32T-I-116	1			1	4	ACP233	0116APC2_FINAL_TEST	EA	N	12/16/2008	LDOUGAN	0	X							X	1		ACP233		
35577A32T	50218558	0010	PP01	    1.462	       1,000	HR	T	CSO2	12/23/2009	CSO2-35577A32T-I-243	1			1	4	CSO232	0243CSO_FT1	EA	N	12/23/2009	LDOUGAN	0	X							X	1		CSO232		
35577A32T	50304544	0010	PP01	    1.159	       1,000	HR	T	ACP5	12/09/2010	ACP5-35577A32T-I-101	1			1	4	ACP534	0116APC2_FINAL_TEST	EA	N	12/10/2010	FF_RYEGANEH	0	X							X	1		ACP534		
35577A32T	50309405	0010	PP01	    1.462	       1,000	HR	T	CSO5	12/09/2010	CSO5-35577A32T-I-243	1	X		1	4	CSO532	0243CSO_FT1	EA	N	12/10/2010	FF_RYEGANEH	0	X							X	1		CSO532		
35577A32T	50315894	0010	PP01	    2.835	       1,000	HR	T	SJO1	12/10/2010	SJO1-35577A32T-I-101	1			1	4	SJO130	0101QA_ELEC_TEST	EA	N	12/11/2010	FF_RYEGANEH	0	X							X	1		SJO130		
35577A32T	50320692	0010	PP02		       1,000		T	SJO5	12/10/2010	SJO5-35577A32T-E-101	1			1	4		0101QA_ELEC_TEST	EA	N	12/13/2010	FF_RYEGANEH	0	X	X	5500038324	CPO1	650071			X	1		SJO530		
35577A32T	50336822	0010	PP02		       1,000		T	CSO5	05/18/2011	CSO5-35577A32T-E-101	1			1	4		0101CSO_FT1	EA	N	05/18/2011	LDOUGAN	0	X	X	5500057109	CPO1	650071			X	1				
35577C0A	50236614	0010	PP02		       1,000		A	SJO2	09/10/2010	SJO2-35577C0A-E-160	1			1	4		0160U_BANK	EA	N	09/10/2010	LDOUGAN	0	X	X	5500035063	CPO1	650070			X	1				
35577D14-AUTU11A	50250307	0010	PP01	      100	       1,000	MIN	A	LNG5	01/01/2008	LING-35577D14-AUTU11A	1			1	4	AUTA	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU11A	50250307	0020	PP01	        1	       1,000	S	A	LNG5	01/01/2008	LING-35577D14-AUTU11A	1			1	4	DUMMY	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU12F	50267998	0010	PP01	       10	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU12F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU12F	50267998	0020	PP01	        1	       1,000	S	F	ATK6	01/01/2008	ATK3-35577D14-AUTU12F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU12F	50267998	0100	ZP03	        0	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU12F	1			1	4		No Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X								1				
35577D14-AUTU12F	50447767	0010	ZP01	       10	       1,000	MIN	F	ATK5	01/01/2008	ATK5-35577D14-AUTU12F	1			1	4	FGF	FINISHING	EA	N	10/23/2014	MILONG	0									1				
35577D14-AUTU12F	50447767	0020	ZP01	        1	       1,000	S	F	ATK5	01/01/2008	ATK5-35577D14-AUTU12F	1			1	4	DUMMY	FINISHING	EA	N	10/23/2014	MILONG	0									1				
35577D14-AUTU12F	50447767	0100	ZP03		       1,000		F	ATK5	01/01/2008	ATK5-35577D14-AUTU12F	1			1	4		FINISHING	EA	N	10/23/2014	MILONG	0	X								1				
35577D14-AUTU12T	50286230	0010	ZP01	      1.0	       8,290	HR	T	ATK5	01/01/2008	ATK1-35577D14-AUTU12T	1			1	4	SVM1032T	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-AUTU12T	50286230	0020	PP01	        1	       1,000	S	T	ATK5	01/01/2008	ATK1-35577D14-AUTU12T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-AUTU12T	50286230	0100	ZP04	        0	       1,000	MIN	T	ATK5	01/01/2008	ATK1-35577D14-AUTU12T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500080502	CPO1	650071				1				
35577D14-AUTU13F	50268003	0010	PP01	       10	       1,000	MIN	F	SJO1	01/01/2008	SJO2-35577D14-AUTU13F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU13F	50268003	0020	PP01	        1	       1,000	S	F	SJO1	01/01/2008	SJO2-35577D14-AUTU13F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU13F	50268003	0100	ZP03		       1,000		F	SJO1	01/01/2008	SJO2-35577D14-AUTU13F	1			1	4	SJO120	Internal Finishing	EA	N	11/22/2010	SCONRAD	0	X								1				
35577D14-AUTU13T	50346597	0010	ZP01	      100	       1,000	MIN	T	LNG5	01/01/2008	LNG5-35577D14-AUTU13T	1			1	4	AUTTSI	UNIT BASED	EA	N	09/28/2011	BPENUMAKA	0									1	UNIT			
35577D14-AUTU13T	50346597	0020	PP01	        1	       1,000	S	T	LNG5	01/01/2008	LNG5-35577D14-AUTU13T	1			1	4	DUMMY	TEST	EA	N	09/28/2011	BPENUMAKA	0									1				
35577D14-AUTU13T	50346597	0100	ZP04	        0	       1,000	MIN	T	LNG5	01/01/2008	LNG5-35577D14-AUTU13T	1			1	4		Final Test	EA	N	09/28/2011	BPENUMAKA	0	X		5500070191	CPO1	650071				1				
35577D14-AUTU14F	50268004	0010	PP01	       10	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU14F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU14F	50268004	0020	PP01	        1	       1,000	S	F	ATK6	01/01/2008	ATK3-35577D14-AUTU14F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU14F	50268004	0100	ZP04	        0	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU14F	1			1	4		Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X		5500078757	CPO1	650072				1				
35577D14-AUTU14F	50268006	0010	PP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU14F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU14F	50268006	0020	PP01	        1	       1,000	S	F	LNG5	01/01/2008	LING-35577D14-AUTU14F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU14F	50268006	0100	ZP04	        0	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU14F	1			1	4		Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X		5500084564	CPO1	650072				1				
35577D14-AUTU14T	50286239	0010	ZP01	      1.0	       8,290	HR	T	ATK5	01/01/2008	ATK1-35577D14-AUTU14T	1			1	4	SVM1032T	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-AUTU14T	50286239	0020	PP01	        1	       1,000	S	T	ATK5	01/01/2008	ATK1-35577D14-AUTU14T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-AUTU14T	50286239	0100	ZP04	        0	       1,000	MIN	T	ATK5	01/01/2008	ATK1-35577D14-AUTU14T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500080503	CPO1	650071				1				
35577D14-AUTU14T	50286242	0010	ZP01	      100	       1,000	MIN	T	LNG5	01/01/2008	LING-35577D14-AUTU14T	1			1	4	AUTTSI	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-AUTU14T	50286242	0020	PP01	        1	       1,000	S	T	LNG5	01/01/2008	LING-35577D14-AUTU14T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-AUTU14T	50286242	0100	ZP04	        0	       1,000	MIN	T	LNG5	01/01/2008	LING-35577D14-AUTU14T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500070192	CPO1	650071				1				
35577D14-AUTU15F	50268007	0010	PP01	       10	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU15F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU15F	50268007	0020	PP01	        1	       1,000	S	F	ATK6	01/01/2008	ATK3-35577D14-AUTU15F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU15F	50268007	0100	ZP03	        0	       1,000	MIN	F	ATK6	01/01/2008	ATK3-35577D14-AUTU15F	1			1	4		No Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X								1				
35577D14-AUTU15F	50268009	0010	PP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU15F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU15F	50268009	0020	PP01	        1	       1,000	S	F	LNG5	01/01/2008	LING-35577D14-AUTU15F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU15F	50268009	0100	ZP03	        0	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU15F	1			1	4		No Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X								1				
35577D14-AUTU15T	50286244	0010	ZP01	      1.0	       8,290	HR	T	ATK5	01/01/2008	ATK1-35577D14-AUTU15T	1			1	4	SVM1032T	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-AUTU15T	50286244	0020	PP01	        1	       1,000	S	T	ATK5	01/01/2008	ATK1-35577D14-AUTU15T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-AUTU15T	50286244	0100	ZP04	        0	       1,000	MIN	T	ATK5	01/01/2008	ATK1-35577D14-AUTU15T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500080504	CPO1	650071				1				
35577D14-AUTU15T	50286247	0010	ZP01	      100	       1,000	MIN	T	LNG5	01/01/2008	LING-35577D14-AUTU15T	1			1	4	AUTTSI	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-AUTU15T	50286247	0020	PP01	        1	       1,000	S	T	LNG5	01/01/2008	LING-35577D14-AUTU15T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-AUTU15T	50286247	0100	ZP04	        0	       1,000	MIN	T	LNG5	01/01/2008	LING-35577D14-AUTU15T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500070193	CPO1	650071				1				
35577D14-AUTU16F	50268011	0010	PP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU16F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU16F	50268011	0020	PP01	        1	       1,000	S	F	LNG5	01/01/2008	LING-35577D14-AUTU16F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-AUTU16F	50268011	0100	ZP04	        0	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-AUTU16F	1			1	4		Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X		5500084566	CPO1	650072				1				
35577D14-AUTU16F	50355190	0010	PP01	       10	       1,000	MIN	F	ACP5	01/01/2008	ACP5-35577D14-AUTU16F	1			1	4	FGF	FINISHING	EA	N	11/30/2011	SCONRAD	0									1				
35577D14-AUTU16F	50355190	0020	PP01	        1	       1,000	S	F	ACP5	01/01/2008	ACP5-35577D14-AUTU16F	1			1	4	DUMMY	FINISHING	EA	N	11/30/2011	SCONRAD	0									1				
35577D14-AUTU16F	50355190	0100	ZP03	        0	       1,000	MIN	F	ACP5	01/01/2008	ACP5-35577D14-AUTU16F	1			1	4	NCFIN	FINISHING	EA	N	11/30/2011	SCONRAD	0	X								1				
35577D14-PNMU11A	50250319	0010	PP01	      100	       1,000	MIN	A	LNG5	01/01/2008	LING-35577D14-PNMU11A	1			1	4	PNMA	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-PNMU11A	50250319	0020	PP01	        1	       1,000	S	A	LNG5	01/01/2008	LING-35577D14-PNMU11A	1			1	4	DUMMY	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-PNMU11A	50250319	0100	ZP04	        0	       1,000	MIN	A	LNG5	01/01/2008	LING-35577D14-PNMU11A	1			1	4		Assembly	EA	N	11/22/2010	SCONRAD	0	X		5500101377	CPO1	650070				1				
35577D14-PNMU11F	50268014	0010	PP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-PNMU11F	1			1	4	FGF	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-PNMU11F	50268014	0020	PP01	        1	       1,000	S	F	LNG5	01/01/2008	LING-35577D14-PNMU11F	1			1	4	DUMMY	FINISHING	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-PNMU11F	50268014	0100	ZP03	        0	       1,000	MIN	F	LNG5	01/01/2008	LING-35577D14-PNMU11F	1			1	4		No Tape & Reel	EA	N	11/22/2010	SCONRAD	0	X								1				
35577D14-PNMU11T	50286252	0010	ZP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LING-35577D14-PNMU11T	1			1	4	MPT0035T	UNIT BASED	EA	N	11/23/2010	SCONRAD	0									1	UNIT			
35577D14-PNMU11T	50286252	0020	PP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LING-35577D14-PNMU11T	1			1	4	MPT0053T	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-PNMU11T	50286252	0030	ZP01	        1	       1,000	S	T	LNG5	01/01/2008	LING-35577D14-PNMU11T	1			1	4	DUMMY	TEST	EA	N	11/23/2010	SCONRAD	0									1				
35577D14-PNMU11T	50286252	0100	ZP04	        0	       1,000	MIN	T	LNG5	01/01/2008	LING-35577D14-PNMU11T	1			1	4		Final Test	EA	N	11/23/2010	SCONRAD	0	X		5500070196	CPO1	650071				1				
35577D14-PNMU12A	50445345	0010	ZP01	      100	       1,000	MIN	A	LNG5	01/01/2008	LNG5-35577D14-PNMU12A	1			1	4	PNMACU	ASSEMBLY	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12A	50445345	0020	ZP01	        1	       1,000	S	A	LNG5	01/01/2008	LNG5-35577D14-PNMU12A	1			1	4	DUMMY	ASSEMBLY	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12A	50445345	0100	ZP04		       1,000		A	LNG5	01/01/2008	LNG5-35577D14-PNMU12A	1			1	4		0160ASSEMBLY_EXT	EA	N	10/02/2014	SCONRAD	0	X		5500138357	CPO1	650070				1				
35577D14-PNMU12F	50445346	0010	ZP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LNG5-35577D14-PNMU12F	1			1	4	FGF	FINISHING	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12F	50445346	0020	ZP01	        1	       1,000	S	F	LNG5	01/01/2008	LNG5-35577D14-PNMU12F	1			1	4	DUMMY	FINISHING	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12F	50445346	0100	ZP03		       1,000		F	LNG5	01/01/2008	LNG5-35577D14-PNMU12F	1			1	4		No Tape&Reel	EA	N	10/02/2014	SCONRAD	0	X								1				
35577D14-PNMU12T	50445347	0010	ZP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LNG5-35577D14-PNMU12T	1			1	4	MPT0035T	UNIT BASED	EA	N	10/02/2014	SCONRAD	0									1	UNIT			
35577D14-PNMU12T	50445347	0020	ZP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LNG5-35577D14-PNMU12T	1			1	4	MPT0053T	TEST	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12T	50445347	0030	ZP01	        1	       1,000	S	T	LNG5	01/01/2008	LNG5-35577D14-PNMU12T	1			1	4	DUMMY	TEST	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU12T	50445347	0100	ZP04		       1,000		T	LNG5	01/01/2008	LNG5-35577D14-PNMU12T	1			1	4		0101FINAL_TEST_EXT	EA	N	10/02/2014	SCONRAD	0	X		5500138610	CPO1	650071				1				
35577D14-PNMU13A	50445348	0010	ZP01	      100	       1,000	MIN	A	LNG5	01/01/2008	LNG5-35577D14-PNMU13A	1			1	4	PNMACU	ASSEMBLY	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13A	50445348	0020	ZP01	        1	       1,000	S	A	LNG5	01/01/2008	LNG5-35577D14-PNMU13A	1			1	4	DUMMY	ASSEMBLY	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13A	50445348	0100	ZP04		       1,000		A	LNG5	01/01/2008	LNG5-35577D14-PNMU13A	1			1	4		0160ASSEMBLY_EXT	EA	N	10/02/2014	SCONRAD	0	X		5500138358	CPO1	650070				1				
35577D14-PNMU13F	50445349	0010	ZP01	       10	       1,000	MIN	F	LNG5	01/01/2008	LNG5-35577D14-PNMU13F	1			1	4	FGF	FINISHING	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13F	50445349	0020	ZP01	        1	       1,000	S	F	LNG5	01/01/2008	LNG5-35577D14-PNMU13F	1			1	4	DUMMY	FINISHING	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13F	50445349	0100	ZP03		       1,000		F	LNG5	01/01/2008	LNG5-35577D14-PNMU13F	1			1	4		No Tape&Reel	EA	N	10/02/2014	SCONRAD	0	X								1				
35577D14-PNMU13T	50445350	0010	ZP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LNG5-35577D14-PNMU13T	1			1	4	MPT0035T	UNIT BASED	EA	N	10/02/2014	SCONRAD	0									1	UNIT			
35577D14-PNMU13T	50445350	0020	ZP01	      1.0	       1,001	HR	T	LNG5	01/01/2008	LNG5-35577D14-PNMU13T	1			1	4	MPT0053T	TEST	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13T	50445350	0030	ZP01	        1	       1,000	S	T	LNG5	01/01/2008	LNG5-35577D14-PNMU13T	1			1	4	DUMMY	TEST	EA	N	10/02/2014	SCONRAD	0									1				
35577D14-PNMU13T	50445350	0100	ZP04		       1,000		T	LNG5	01/01/2008	LNG5-35577D14-PNMU13T	1			1	4		0101FINAL_TEST_EXT	EA	N	10/02/2014	SCONRAD	0	X		5500138611	CPO1	650071				1				
35577D14-ZVYU12A	50250326	0010	PP01	      100	       1,000	MIN	A	ATC5	01/01/2008	ATC2-35577D14-ZVYU12A	1			1	4	ZVYA	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-ZVYU12A	50250326	0020	PP01	        1	       1,000	S	A	ATC5	01/01/2008	ATC2-35577D14-ZVYU12A	1			1	4	DUMMY	ASSEMBLY	EA	N	11/22/2010	SCONRAD	0									1				
35577D14-ZVYU12A	50250326	0100	ZP04	        0	       1,000	MIN	A	ATC5	01/01/2008	ATC2-35577D14-ZVYU12A	1			1	4		Assembly	EA	N	11/22/2010	SCONRAD	0	X		5500094002	CPO1	650070				1				
